feature	partner	sample_name
CCDC30	YBX1	ACH-000008
JMJD6	RPTOR	ACH-000008
AKAP6	LARS	ACH-000558
ARHGAP17	CNOT1	ACH-000558
CBFB	ABL1	ACH-000558
CCL17	C7orf50	ACH-000558
CFAP77	DHX38	ACH-000558
COX10-AS1	PAFAH1B1	ACH-000558
CPNE2	MAD1L1	ACH-000558
EEF2K	SDK1	ACH-000558
EHMT2	VARS	ACH-000558
ELMSAN1	DCAF12	ACH-000558
FUK	CBFB	ACH-000558
GINS3	ABL1	ACH-000558
IL34	SNTB2	ACH-000558
IQCE	NFAT5	ACH-000558
MAFK	CPNE2	ACH-000558
NMT1	DBF4B	ACH-000558
PALB2	MOSMO	ACH-000558
RADIL	PMFBP1	ACH-000558
RAPGEF1	FAM20C	ACH-000558
RNF130	ADAMTS2	ACH-000558
SLC6A2	USB1	ACH-000558
TNRC6A	SETX	ACH-000558
ZDHHC1	ADGRG1	ACH-000558
PIGX	PAK2	ACH-000201
DNAJB1	GIPC1	ACH-000788
DNASE2	NFIX	ACH-000788
JSRP1	AP3D1	ACH-000788
PALM	GNG7	ACH-000788
SUPT6H	NEK8	ACH-000788
RICTOR	MYO10	ACH-000740
VPS13B	CNOT7	ACH-000740
MSRB3	HMGA2	ACH-000657
BLMH	DYNC1LI2	ACH-000219
COG4	ST3GAL2	ACH-000219
EP300	L3MBTL2	ACH-000219
KLHL31	ELOVL5	ACH-000219
MIR137HG	DPYD	ACH-000219
PRKCH	HIF1A	ACH-000219
RTN4	AHCY	ACH-000219
SLC39A11	LINC00511	ACH-000219
CCT4	USP34	ACH-000555
CUX1	SH2B2	ACH-000555
FYB1	RICTOR	ACH-000681
WDR72	SCAMP2	ACH-000681
CHRDL2	SUPT20H	ACH-000052
FLI1	EWSR1	ACH-000052
SPG7	LINC00221	ACH-000052
RGMB	GBE1	ACH-000429
ATF5	IL4I1	ACH-000528
ICE2	ANXA2	ACH-000528
KIAA0895	PRKAR1B	ACH-000528
MAD1L1	SNX8	ACH-000528
NCOA7	TRMT11	ACH-000528
SPINT2	SIPA1L3	ACH-000528
MERTK	TMEM87B	ACH-000880
PGAM1	ZDHHC16	ACH-000880
SRPK2	PUS7	ACH-000880
TANGO6	SLC7A6	ACH-000880
BCO2	PRCP	ACH-000269
KIAA1109	PLK4	ACH-000269
MAML2	YAP1	ACH-000269
RPL35	SCAI	ACH-000269
SMG6	YWHAE	ACH-000269
WDR59	CMTM4	ACH-000269
YAP1	MAML2	ACH-000269
PRKG1	VGLL4	ACH-000940
PTN	CREB3L2	ACH-000940
SLC35A1	TSHZ2	ACH-000940
CALB1	NCOA2	ACH-000248
COLEC10	TAF2	ACH-000248
CPNE1	PREX1	ACH-000248
CTNNBL1	VSTM2L	ACH-000248
EIF3H	CYTH1	ACH-000248
FBXL7	TRIO	ACH-000248
GSDMB	TATDN1	ACH-000248
ITCH	DHX35	ACH-000248
LINC00536	PVT1	ACH-000248
LINC00824	SLC45A4	ACH-000248
LRRFIP2	SUMF1	ACH-000248
MED24	MSL1	ACH-000248
MRPL13	SAMD12	ACH-000248
NARF	FOXK2	ACH-000248
PCDH1	ANKHD1	ACH-000248
PKIA	RARA	ACH-000248
SNTB1	KLHDC2	ACH-000248
TLK2	ATAD5	ACH-000248
TRAPPC9	PTK2	ACH-000248
UQCR10	MTMR3	ACH-000248
WDR82	PBRM1	ACH-000248
ZNF704	TBC1D31	ACH-000248
API5	TTC17	ACH-001016
ARL17A	ELOVL1	ACH-001016
CEP152	FBN1	ACH-001016
EML3	DDX49	ACH-001016
IMPACT	OSBPL5	ACH-001016
MACO1	NF1	ACH-001016
MIGA2	SH3GLB2	ACH-001016
MRPL20	CCNL2	ACH-001016
NF1	MACO1	ACH-001016
OSBPL1A	ARNTL	ACH-001016
OXLD1	NPLOC4	ACH-001016
PGPEP1	LSM4	ACH-001016
POM121C	AKAP10	ACH-001016
SAG	GIGYF2	ACH-001016
SH3GLB2	MIGA2	ACH-001016
SLC35A1	TSHZ2	ACH-001016
THRAP3	RSRP1	ACH-001016
TMEM50A	LRRC37B	ACH-001016
TXNDC12	NRDC	ACH-001016
ZBED5-AS1	TAF4B	ACH-001016
ACVR2A	TEX41	ACH-000603
C5orf60	HNRNPH1	ACH-000603
CCDC91	ITPR2	ACH-000603
FAM72C	CCDC91	ACH-000603
FAM72D	CCDC91	ACH-000603
ITPR2	FGFR1OP2	ACH-000603
KCNH7	SLC38A11	ACH-000603
LRMP	ITPR2	ACH-000603
MYC	PVT1	ACH-000603
QRICH1	RHOA	ACH-000603
TRHDE-AS1	FRS2	ACH-000603
BMS1	PARG	ACH-000802
CLSTN2	PIK3CB	ACH-000802
CNGB1	KIFC3	ACH-000792
MT2A	MYH9	ACH-000792
C5orf66-AS2	CDC42SE2	ACH-000191
C8orf37-AS1	PCMTD1	ACH-000191
DTX2P1	GTF2IRD1	ACH-000191
ENPP2	UBR5	ACH-000191
PQLC2	SPIDR	ACH-000191
RNU4-25P	COL14A1	ACH-000191
XPO7	FAM160B2	ACH-000191
CAV1	MET	ACH-000548
PGAM1P5	FGD6	ACH-000548
VMP1	RPS6KB1	ACH-000548
