sample_name	therapy_name
ACH-000008	AZ628
ACH-000008	AZD5582
ACH-000008	CI-1040
ACH-000008	Dabrafenib
ACH-000008	IAP_5620
ACH-000008	IAP_7638
ACH-000008	LCL161
ACH-000008	MG-132
ACH-000008	SB590885
ACH-000008	Shikonin
ACH-000558	CCT007093
ACH-000558	LFM-A13
ACH-000201	AZD5582
ACH-000201	Acetalax
ACH-000201	Cabozantinib
ACH-000201	Cediranib
ACH-000201	IAP_5620
ACH-000201	IAP_7638
ACH-000201	Linifanib
ACH-000201	MCT4_1422
ACH-000201	Masitinib
ACH-000201	Motesanib
ACH-000201	Pazopanib
ACH-000201	Ponatinib
ACH-000201	Quizartinib
ACH-000201	RAF_9304
ACH-000201	TL-2-105
ACH-000201	Tivozanib
ACH-000788	PARP_9495
ACH-000740	Acetalax
ACH-000740	Bryostatin 1
ACH-000740	Etoposide
ACH-000740	Shikonin
ACH-000657	AZD1332
ACH-000657	AZD2014
ACH-000657	AZD4547
ACH-000657	Alpelisib
ACH-000657	EHT-1864
ACH-000657	GSK429286A
ACH-000657	Niraparib
ACH-000657	Nutlin-3a (-)
ACH-000657	PD173074
ACH-000657	PHA-793887
ACH-000657	Palbociclib
ACH-000657	Pictilisib
ACH-000657	QL-XII-61
ACH-000657	Rucaparib
ACH-000657	Sabutoclax
ACH-000657	Taselisib
ACH-000657	VSP34_8731
ACH-000657	XMD14-99
ACH-000657	XMD15-27
ACH-000657	Y-39983
ACH-000219	(5Z)-7-Oxozeaenol
ACH-000219	AS605240
ACH-000219	CHIR-99021
ACH-000219	CI-1040
ACH-000219	Dabrafenib
ACH-000219	ERK_2440
ACH-000219	LIMK1 inhibitor BMS4
ACH-000219	PD0325901
ACH-000219	PLX-4720
ACH-000219	Pilaralisib
ACH-000219	RAF_9304
ACH-000219	Refametinib
ACH-000219	SB590885
ACH-000555	AZD8186
ACH-000555	CHIR-99021
ACH-000555	PFI-3
ACH-000555	TGX221
ACH-000555	WEHI-539
ACH-000555	WH-4-023
ACH-000681	BPTES
ACH-000681	Tanespimycin
ACH-000052	Carmustine
ACH-000052	KIN001-042
ACH-000052	Olaparib
ACH-000052	Talazoparib
ACH-000429	AZD1332
ACH-000429	FTI-277
