sample_name	sample_alias-ccle	sample_alias-sanger	primary_site	tumor_type	tumor_type_refined	sanger_cancer_type	sanger_cancer_type_detail
ACH-000001	NIHOVCAR3_OVARY	SIDM00105	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000007	LS513_LARGE_INTESTINE	SIDM00677	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000008	A101D_SKIN	SIDM00801	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000009	C2BBE1_LARGE_INTESTINE	SIDM01233	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000012	HCC827_LUNG	SIDM01067	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000015	NCIH1581_LUNG	SIDM00748	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000023	PATU8988T_PANCREAS	SIDM00453	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000030	PC14_LUNG	SIDM00237	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000035	NCIH1650_LUNG	SIDM00745	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Bronchiolo-Alveolar Lung Carcinoma
ACH-000040	U118MG_CENTRAL_NERVOUS_SYSTEM	SIDM01193	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-000042	PANC0203_PANCREAS	SIDM01139	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000047	GCIY_STOMACH	SIDM00274	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000052	A673_BONE	SIDM00848	Bone	Ewings_Sarcoma	Ewings_sarcoma	Ewing's Sarcoma	Ewing's Sarcoma
ACH-000055	D283MED_CENTRAL_NERVOUS_SYSTEM	SIDM00888	Central_Nervous_System	medulloblastoma	medulloblastoma	Other Solid Carcinomas	Medulloblastoma 
ACH-000062	RERFLCMS_LUNG	SIDM00355	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000067	HS683_CENTRAL_NERVOUS_SYSTEM	SIDM00666	Central_Nervous_System	glioma	glioma	Glioma	Oligodendroglioma
ACH-000078	MHHNB11_AUTONOMIC_GANGLIA	SIDM00387	Autonomic_Ganglia	neuroblastoma	neuroblastoma	Neuroblastoma	Neuroblastoma
ACH-000082	G292CLONEA141B1_BONE	SIDM00858	Bone	osteosarcoma	osteosarcoma	Osteosarcoma	Osteosarcoma
ACH-000087	SKES1_BONE	SIDM01111	Bone	Ewings_Sarcoma	Ewings_sarcoma	Ewing's Sarcoma	Ewing's Sarcoma
ACH-000092	NCIH2452_PLEURA	SIDM00722	Pleura	mesothelioma	mesothelioma	Mesothelioma	Pleural Biphasic Mesothelioma
ACH-000094	HPAFII_PANCREAS	SIDM00669	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000098	GAMG_CENTRAL_NERVOUS_SYSTEM	SIDM01055	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000099	SIMA_AUTONOMIC_GANGLIA	SIDM00395	Autonomic_Ganglia	neuroblastoma	neuroblastoma	Neuroblastoma	Neuroblastoma
ACH-000100	RH41_SOFT_TISSUE	SIDM00426	Soft_Tissue	soft_tissue	soft_tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma
ACH-000102	GMS10_CENTRAL_NERVOUS_SYSTEM	SIDM01074	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000103	CAOV4_OVARY	SIDM00918	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000107	CAPAN2_PANCREAS	SIDM00943	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000109	NCIH3255_LUNG	SIDM00046	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000111	HCC1187_BREAST	SIDM00885	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000114	SU8686_PANCREAS	SIDM01188	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000115	VCAP_PROSTATE	SIDM01077	Prostate	prostate	prostate	Prostate Carcinoma	Prostate Carcinoma
ACH-000117	EFM192A_BREAST	SIDM01002	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000121	NCIH2405_LUNG	SIDM00724	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000129	NCIH1341_LUNG	SIDM00646	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000132	JHOS2_OVARY	SIDM00305	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000138	CFPAC1_PANCREAS	SIDM00130	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000139	PANC0327_PANCREAS	SIDM01138	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000142	CAL29_URINARY_TRACT	SIDM00936	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000144	RERFGC1B_STOMACH	SIDM00358	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
