case	comparison	jaccard-almanac-genes
ACH-000001	ACH-000001	0
ACH-000001	ACH-000007	0.9
ACH-000001	ACH-000008	1
ACH-000001	ACH-000009	0.8
ACH-000001	ACH-000012	0.875
ACH-000001	ACH-000015	0.722222222
ACH-000001	ACH-000023	0.866666667
ACH-000001	ACH-000030	0.866666667
ACH-000001	ACH-000035	0.8
ACH-000001	ACH-000040	0.9375
ACH-000001	ACH-000042	0.7
ACH-000001	ACH-000047	0.785714286
ACH-000001	ACH-000052	0.823529412
ACH-000001	ACH-000055	0.882352941
ACH-000001	ACH-000062	0.928571429
ACH-000001	ACH-000067	0.941176471
ACH-000001	ACH-000078	0.846153846
ACH-000001	ACH-000082	0.8
ACH-000001	ACH-000087	0.785714286
ACH-000001	ACH-000092	0.941176471
ACH-000001	ACH-000094	0.85
ACH-000001	ACH-000098	0.944444444
ACH-000001	ACH-000099	0.866666667
ACH-000001	ACH-000100	0.857142857
ACH-000001	ACH-000102	0.928571429
ACH-000001	ACH-000103	0.846153846
ACH-000001	ACH-000107	1
ACH-000001	ACH-000109	0.842105263
ACH-000001	ACH-000111	0.923076923
ACH-000001	ACH-000114	0.933333333
ACH-000001	ACH-000115	0.888888889
ACH-000001	ACH-000117	0.777777778
ACH-000001	ACH-000121	0.833333333
ACH-000001	ACH-000129	1
ACH-000001	ACH-000132	0.85
ACH-000001	ACH-000138	0.647058824
ACH-000001	ACH-000139	1
ACH-000001	ACH-000142	0.875
ACH-000001	ACH-000144	0.823529412
ACH-000001	ACH-000145	0.928571429
ACH-000001	ACH-000147	0.846153846
ACH-000001	ACH-000148	0.928571429
ACH-000001	ACH-000149	1
ACH-000001	ACH-000159	1
ACH-000001	ACH-000161	0.8
ACH-000001	ACH-000171	0.714285714
ACH-000001	ACH-000174	0.866666667
ACH-000001	ACH-000176	0.894736842
ACH-000001	ACH-000181	1
ACH-000007	ACH-000001	0.9
ACH-000007	ACH-000007	0
ACH-000007	ACH-000008	0.866666667
ACH-000007	ACH-000009	0.952380952
ACH-000007	ACH-000012	1
ACH-000007	ACH-000015	0.894736842
ACH-000007	ACH-000023	0.928571429
ACH-000007	ACH-000030	1
ACH-000007	ACH-000035	0.777777778
ACH-000007	ACH-000040	1
ACH-000007	ACH-000042	0.857142857
ACH-000007	ACH-000047	1
ACH-000007	ACH-000052	0.941176471
ACH-000007	ACH-000055	0.866666667
ACH-000007	ACH-000062	1
ACH-000007	ACH-000067	0.933333333
ACH-000007	ACH-000078	1
ACH-000007	ACH-000082	1
ACH-000007	ACH-000087	1
ACH-000007	ACH-000092	0.857142857
ACH-000007	ACH-000094	0.894736842
ACH-000007	ACH-000098	0.9375
ACH-000007	ACH-000099	0.846153846
ACH-000007	ACH-000100	1
ACH-000007	ACH-000102	1
ACH-000007	ACH-000103	1
ACH-000007	ACH-000107	0.923076923
ACH-000007	ACH-000109	0.75
ACH-000007	ACH-000111	1
ACH-000007	ACH-000114	0.923076923
ACH-000007	ACH-000115	1
ACH-000007	ACH-000117	1
ACH-000007	ACH-000121	0.944444444
ACH-000007	ACH-000129	1
ACH-000007	ACH-000132	1
ACH-000007	ACH-000138	0.894736842
ACH-000007	ACH-000139	0.941176471
ACH-000007	ACH-000142	1
ACH-000007	ACH-000144	0.875
ACH-000007	ACH-000145	1
ACH-000007	ACH-000147	1
ACH-000007	ACH-000148	1
ACH-000007	ACH-000149	0.866666667
ACH-000007	ACH-000159	1
ACH-000007	ACH-000161	1
ACH-000007	ACH-000171	0.75
ACH-000007	ACH-000174	0.928571429
ACH-000007	ACH-000176	0.882352941
ACH-000007	ACH-000181	1
ACH-000008	ACH-000001	1
ACH-000008	ACH-000007	0.866666667
ACH-000008	ACH-000008	0
ACH-000008	ACH-000009	0.944444444
ACH-000008	ACH-000012	1
ACH-000008	ACH-000015	1
ACH-000008	ACH-000023	0.909090909
ACH-000008	ACH-000030	1
ACH-000008	ACH-000035	0.882352941
ACH-000008	ACH-000040	0.8
ACH-000008	ACH-000042	0.95
ACH-000008	ACH-000047	1
ACH-000008	ACH-000052	0.846153846
ACH-000008	ACH-000055	0.833333333
ACH-000008	ACH-000062	1
ACH-000008	ACH-000067	0.916666667
ACH-000008	ACH-000078	1
ACH-000008	ACH-000082	0.944444444
ACH-000008	ACH-000087	0.909090909
ACH-000008	ACH-000092	0.916666667
ACH-000008	ACH-000094	1
ACH-000008	ACH-000098	0.833333333
ACH-000008	ACH-000099	1
ACH-000008	ACH-000100	0.9
ACH-000008	ACH-000102	0.888888889
ACH-000008	ACH-000103	1
ACH-000008	ACH-000107	0.9
ACH-000008	ACH-000109	0.692307692
ACH-000008	ACH-000111	1
ACH-000008	ACH-000114	0.9
ACH-000008	ACH-000115	1
ACH-000008	ACH-000117	0.9375
ACH-000008	ACH-000121	0.857142857
ACH-000008	ACH-000129	0.9
ACH-000008	ACH-000132	0.941176471
ACH-000008	ACH-000138	0.941176471
ACH-000008	ACH-000139	0.75
ACH-000008	ACH-000142	0.916666667
ACH-000008	ACH-000144	0.928571429
ACH-000008	ACH-000145	0.75
ACH-000008	ACH-000147	1
ACH-000008	ACH-000148	0.888888889
ACH-000008	ACH-000149	0.923076923
ACH-000008	ACH-000159	0.818181818
ACH-000008	ACH-000161	0.882352941
ACH-000008	ACH-000171	0.842105263
ACH-000008	ACH-000174	0.909090909
ACH-000008	ACH-000176	0.769230769
ACH-000008	ACH-000181	0.888888889
ACH-000009	ACH-000001	0.8
ACH-000009	ACH-000007	0.952380952
ACH-000009	ACH-000008	0.944444444
ACH-000009	ACH-000009	0
ACH-000009	ACH-000012	0.941176471
ACH-000009	ACH-000015	0.85
ACH-000009	ACH-000023	0.9375
ACH-000009	ACH-000030	0.9375
ACH-000009	ACH-000035	0.8
ACH-000009	ACH-000040	0.866666667
ACH-000009	ACH-000042	0.869565217
ACH-000009	ACH-000047	0.9375
ACH-000009	ACH-000052	0.888888889
ACH-000009	ACH-000055	0.882352941
ACH-000009	ACH-000062	0.928571429
ACH-000009	ACH-000067	0.875
ACH-000009	ACH-000078	0.928571429
ACH-000009	ACH-000082	0.736842105
ACH-000009	ACH-000087	0.866666667
ACH-000009	ACH-000092	0.875
ACH-000009	ACH-000094	0.85
ACH-000009	ACH-000098	0.882352941
ACH-000009	ACH-000099	0.9375
ACH-000009	ACH-000100	0.857142857
ACH-000009	ACH-000102	0.928571429
ACH-000009	ACH-000103	0.928571429
ACH-000009	ACH-000107	0.933333333
ACH-000009	ACH-000109	0.842105263
ACH-000009	ACH-000111	0.923076923
ACH-000009	ACH-000114	0.857142857
ACH-000009	ACH-000115	0.888888889
ACH-000009	ACH-000117	0.625
ACH-000009	ACH-000121	0.833333333
ACH-000009	ACH-000129	1
ACH-000009	ACH-000132	0.722222222
ACH-000009	ACH-000138	0.904761905
ACH-000009	ACH-000139	0.947368421
ACH-000009	ACH-000142	0.615384615
ACH-000009	ACH-000144	0.666666667
ACH-000009	ACH-000145	0.846153846
ACH-000009	ACH-000147	0.928571429
ACH-000009	ACH-000148	0.846153846
ACH-000009	ACH-000149	0.944444444
ACH-000009	ACH-000159	0.875
ACH-000009	ACH-000161	0.8
ACH-000009	ACH-000171	0.826086957
ACH-000009	ACH-000174	0.692307692
ACH-000009	ACH-000176	0.764705882
ACH-000009	ACH-000181	0.928571429
ACH-000012	ACH-000001	0.875
ACH-000012	ACH-000007	1
ACH-000012	ACH-000008	1
ACH-000012	ACH-000009	0.941176471
ACH-000012	ACH-000012	0
ACH-000012	ACH-000015	0.866666667
ACH-000012	ACH-000023	0.9
ACH-000012	ACH-000030	0.777777778
ACH-000012	ACH-000035	0.8
ACH-000012	ACH-000040	0.9
ACH-000012	ACH-000042	0.888888889
ACH-000012	ACH-000047	0.625
ACH-000012	ACH-000052	0.833333333
ACH-000012	ACH-000055	0.818181818
ACH-000012	ACH-000062	0.875
ACH-000012	ACH-000067	0.8
ACH-000012	ACH-000078	0.875
ACH-000012	ACH-000082	0.714285714
ACH-000012	ACH-000087	0.777777778
ACH-000012	ACH-000092	1
ACH-000012	ACH-000094	0.866666667
ACH-000012	ACH-000098	0.818181818
ACH-000012	ACH-000099	1
ACH-000012	ACH-000100	0.888888889
ACH-000012	ACH-000102	0.875
ACH-000012	ACH-000103	0.714285714
ACH-000012	ACH-000107	1
ACH-000012	ACH-000109	0.857142857
ACH-000012	ACH-000111	0.857142857
ACH-000012	ACH-000114	0.888888889
ACH-000012	ACH-000115	0.727272727
ACH-000012	ACH-000117	0.769230769
ACH-000012	ACH-000121	0.928571429
ACH-000012	ACH-000129	0.888888889
ACH-000012	ACH-000132	0.866666667
ACH-000012	ACH-000138	0.785714286
ACH-000012	ACH-000139	0.923076923
ACH-000012	ACH-000142	0.909090909
ACH-000012	ACH-000144	0.923076923
ACH-000012	ACH-000145	0.875
ACH-000012	ACH-000147	0.875
ACH-000012	ACH-000148	0.714285714
ACH-000012	ACH-000149	0.916666667
ACH-000012	ACH-000159	1
ACH-000012	ACH-000161	0.875
ACH-000012	ACH-000171	0.894736842
ACH-000012	ACH-000174	0.9
ACH-000012	ACH-000176	0.846153846
ACH-000012	ACH-000181	1
ACH-000015	ACH-000001	0.722222222
ACH-000015	ACH-000007	0.894736842
ACH-000015	ACH-000008	1
ACH-000015	ACH-000009	0.85
ACH-000015	ACH-000012	0.866666667
ACH-000015	ACH-000015	0
ACH-000015	ACH-000023	0.933333333
ACH-000015	ACH-000030	0.933333333
ACH-000015	ACH-000035	0.722222222
ACH-000015	ACH-000040	0.933333333
ACH-000015	ACH-000042	0.611111111
ACH-000015	ACH-000047	0.769230769
ACH-000015	ACH-000052	0.944444444
ACH-000015	ACH-000055	0.875
ACH-000015	ACH-000062	0.923076923
ACH-000015	ACH-000067	0.866666667
ACH-000015	ACH-000078	0.923076923
ACH-000015	ACH-000082	0.722222222
ACH-000015	ACH-000087	0.933333333
ACH-000015	ACH-000092	0.9375
ACH-000015	ACH-000094	0.9
ACH-000015	ACH-000098	0.875
ACH-000015	ACH-000099	0.933333333
ACH-000015	ACH-000100	0.928571429
ACH-000015	ACH-000102	0.923076923
ACH-000015	ACH-000103	0.833333333
ACH-000015	ACH-000107	1
ACH-000015	ACH-000109	0.833333333
ACH-000015	ACH-000111	0.916666667
ACH-000015	ACH-000114	0.928571429
ACH-000015	ACH-000115	0.733333333
ACH-000015	ACH-000117	0.833333333
ACH-000015	ACH-000121	0.823529412
ACH-000015	ACH-000129	0.928571429
ACH-000015	ACH-000132	0.705882353
ACH-000015	ACH-000138	0.777777778
ACH-000015	ACH-000139	0.944444444
ACH-000015	ACH-000142	0.9375
ACH-000015	ACH-000144	0.733333333
ACH-000015	ACH-000145	0.923076923
ACH-000015	ACH-000147	0.833333333
ACH-000015	ACH-000148	0.833333333
ACH-000015	ACH-000149	0.875
ACH-000015	ACH-000159	0.9375
ACH-000015	ACH-000161	0.789473684
ACH-000015	ACH-000171	0.7
ACH-000015	ACH-000174	0.933333333
ACH-000015	ACH-000176	0.888888889
ACH-000015	ACH-000181	1
ACH-000023	ACH-000001	0.866666667
ACH-000023	ACH-000007	0.928571429
ACH-000023	ACH-000008	0.909090909
ACH-000023	ACH-000009	0.9375
ACH-000023	ACH-000012	0.9
ACH-000023	ACH-000015	0.933333333
ACH-000023	ACH-000023	0
ACH-000023	ACH-000030	0.75
ACH-000023	ACH-000035	0.866666667
ACH-000023	ACH-000040	0.75
ACH-000023	ACH-000042	0.8125
ACH-000023	ACH-000047	0.75
ACH-000023	ACH-000052	0.916666667
ACH-000023	ACH-000055	0.909090909
ACH-000023	ACH-000062	0.666666667
ACH-000023	ACH-000067	0.9
ACH-000023	ACH-000078	1
ACH-000023	ACH-000082	0.866666667
ACH-000023	ACH-000087	0.888888889
ACH-000023	ACH-000092	1
ACH-000023	ACH-000094	0.857142857
ACH-000023	ACH-000098	0.909090909
ACH-000023	ACH-000099	1
ACH-000023	ACH-000100	0.714285714
ACH-000023	ACH-000102	0.666666667
ACH-000023	ACH-000103	0.666666667
ACH-000023	ACH-000107	0.875
ACH-000023	ACH-000109	0.846153846
ACH-000023	ACH-000111	0.833333333
ACH-000023	ACH-000114	0.714285714
ACH-000023	ACH-000115	0.916666667
ACH-000023	ACH-000117	0.928571429
ACH-000023	ACH-000121	0.923076923
ACH-000023	ACH-000129	0.875
