	nonsynonymous-variant-count
ACH-000138	117
ACH-000082	125
ACH-000035	129
ACH-000139	142
ACH-000052	143
ACH-000102	144
ACH-000092	150
ACH-000147	151
ACH-000042	152
ACH-000161	153
ACH-000067	159
ACH-000115	163
ACH-000107	164
ACH-000040	165
ACH-000149	168
ACH-000114	174
ACH-000145	174
ACH-000078	176
ACH-000098	177
ACH-000121	178
ACH-000099	179
ACH-000103	184
ACH-000129	185
ACH-000094	187
ACH-000174	188
ACH-000176	190
ACH-000142	191
ACH-000117	191
ACH-000012	202
ACH-000148	205
ACH-000055	207
ACH-000023	207
ACH-000087	208
ACH-000111	208
ACH-000001	215
ACH-000171	217
ACH-000181	218
ACH-000100	228
ACH-000062	229
ACH-000008	247
ACH-000047	252
ACH-000159	260
ACH-000109	264
ACH-000144	272
ACH-000015	294
ACH-000132	296
ACH-000009	311
ACH-000030	361
ACH-000007	411
